Sample	Sym_Num	Sym_ID	Env	Time	Rep	A_Count	B_Count	D_Count	Total_Count	Per_A	Per_B	Per_D	Log_A	Log_B	Log_D	Log_Total
1206	2	BD	Dark	2	3	0	2727	98548	101275	0	2.7	97.3	0	3.436	4.994	5.006
1209	2	BD	Dark	2	3	0	0	150317	150317	0	0	100	0	0	5.177	5.177
909	2	BD	Light	2	1	0	11540	6711	18252	0	63.2	36.8	0	4.062	3.827	4.261
1172	2	BD	Light	2	2	0	9734	39129	48863	0	19.9	80.1	0	3.988	4.592	4.689
1176	2	BD	Light	2	2	0	218286	0	218286	0	100	0	0	5.339	0	5.339
1192	2	BD	Light	2	3	0	3064	2887	5951	0	51.5	48.5	0	3.486	3.461	3.775
1196	2	BD	Light	2	3	0	47698	59156	106854	0	44.6	55.4	0	4.679	4.772	5.029
1198	2	BD	Light	2	3	0	539	15674	16213	0	3.3	96.7	0	2.732	4.195	4.21
1199	2	BD	Light	2	3	0	167568	31532	199100	0	84.2	15.8	0	5.224	4.499	5.299
482	1	D	Dark	1	1	0	0	249	249	0	0	100	0	0	2.396	2.396
486	1	D	Dark	1	1	0	0	2276	2276	0	0	100	0	0	3.357	3.357
489	1	D	Dark	1	1	0	0	2897	2897	0	0	100	0	0	3.462	3.462
490	1	D	Dark	1	1	0	0	8869	8869	0	0	100	0	0	3.948	3.948
622	1	D	Dark	1	2	0	0	839	839	0	0	100	0	0	2.924	2.924
629	1	D	Dark	1	2	0	0	2792	2792	0	0	100	0	0	3.446	3.446
630	1	D	Dark	1	2	0	0	1990	1990	0	0	100	0	0	3.299	3.299
766	1	D	Dark	1	3	0	0	11340	11340	0	0	100	0	0	4.055	4.055
768	1	D	Dark	1	3	0	0	14657	14657	0	0	100	0	0	4.166	4.166
769	1	D	Dark	1	3	0	0	36986	36986	0	0	100	0	0	4.568	4.568
770	1	D	Dark	1	3	0	0	10232	10232	0	0	100	0	0	4.01	4.01
472	1	D	Light	1	1	0	0	321	321	0	0	100	0	0	2.507	2.507
476	1	D	Light	1	1	0	0	40131	40131	0	0	100	0	0	4.603	4.603
478	1	D	Light	1	1	0	0	85	85	0	0	100	0	0	1.93	1.93
479	1	D	Light	1	1	0	0	14013	14013	0	0	100	0	0	4.147	4.147
480	1	D	Light	1	1	0	0	11785	11785	0	0	100	0	0	4.071	4.071
612	1	D	Light	1	2	0	0	4740	4740	0	0	100	0	0	3.676	3.676
616	1	D	Light	1	2	0	0	59352	59352	0	0	100	0	0	4.773	4.773
618	1	D	Light	1	2	0	0	25398	25398	0	0	100	0	0	4.405	4.405
619	1	D	Light	1	2	0	0	17877	17877	0	0	100	0	0	4.252	4.252
620	1	D	Light	1	2	0	0	2389	2389	0	0	100	0	0	3.378	3.378
756	1	D	Light	1	3	0	0	37929	37929	0	0	100	0	0	4.579	4.579
758	1	D	Light	1	3	0	0	57587	57587	0	0	100	0	0	4.76	4.76
759	1	D	Light	1	3	0	0	36247	36247	0	0	100	0	0	4.559	4.559
760	1	D	Light	1	3	0	0	85173	85173	0	0	100	0	0	4.93	4.93
916	1	D	Dark	2	1	0	0	1977	1977	0	0	100	0	0	3.296	3.296
919	1	D	Dark	2	1	0	0	422	422	0	0	100	0	0	2.625	2.625
920	1	D	Dark	2	1	0	0	51503	51503	0	0	100	0	0	4.712	4.712
1142	1	D	Dark	2	2	0	0	2460	2460	0	0	100	0	0	3.391	3.391
1146	1	D	Dark	2	2	0	0	125842	125842	0	0	100	0	0	5.1	5.1
1148	1	D	Dark	2	2	0	0	81929	81929	0	0	100	0	0	4.913	4.913
1150	1	D	Dark	2	2	0	0	211626	211626	0	0	100	0	0	5.326	5.326
1168	1	D	Dark	2	3	0	0	151580	151580	0	0	100	0	0	5.181	5.181
1169	1	D	Dark	2	3	0	0	210359	210359	0	0	100	0	0	5.323	5.323
1170	1	D	Dark	2	3	0	0	132709	132709	0	0	100	0	0	5.123	5.123
892	1	D	Light	2	1	0	0	2615	2615	0	0	100	0	0	3.418	3.418
896	1	D	Light	2	1	0	0	54400	54400	0	0	100	0	0	4.736	4.736
899	1	D	Light	2	1	0	0	46116	46116	0	0	100	0	0	4.664	4.664
900	1	D	Light	2	1	0	0	198700	198700	0	0	100	0	0	5.298	5.298
